datelastmodified	basisofrecord	country	stateprovince	institutioncode	collectioncode	catalognumber	kingdom	phylum	taxonclass	ordem	family	genus	species	subspecies	scientificname	scientificnameauthor	typestatus	yearcollected	monthcollected	daycollected	collector	collectornumber	fieldnumber	julianday	timeofday	identifiedby	yearidentified	monthidentified	dayidentified	continentocean	county	locality	longitude	latitude	coordinateprecision	boundingbox	minimumelevation	maximumelevation	minimumdepth	maximumdepth	sex	preparationtype	individualcount	previouscatalognumber	relationshiptype	relatedcatalogitem	notes	barcode	historyofdeposit	depositor	yeardeposited	monthdeposited	daydeposited	isolatedfrom	isolator	isolationmethod	conditionsforgrowth	geneticallymodified	genotype	mutant	race	alternatestate	strainproperties	strainapplications	formofsupply	restrictions	biologicalrisks	pathogenicity
2024-05-07T10:44:47	PreservedSpecimen	Brasil	Bahia	CEPLAC	CEPEC	126846	Plantae				Acanthaceae							2009	11	03	Daneu, L.	222				Sem Informação					PRADO	Parque Nacional do Descobrimento. Entrada à esquerda no km 8 da estrada principal que atravessa o Parque.	-39.333333	-17.183333																																		
2024-05-07T11:10:16	PreservedSpecimen	Brasil	Bahia	CEPLAC	CEPEC	127073	Plantae				Schizaeaceae	Actinostachys	pennula		Actinostachys pennula			2009	11	09	Matos, F. B.	1945				F. B. Matos					PRADO	Parque Nacional do Descobrimento. Mussununga (solo arenoso); entrada à esquerda no km 8 da estrada principal que atravessa o Parque. Na borda da mata.	-39.333333	-17.183333			70	70									<nO>UNICATA.</nO>																					
2024-05-07T11:07:15	PreservedSpecimen	Brasil	Bahia	CEPLAC	CEPEC	127063	Plantae				Pteridaceae	Adiantum	lucidum		Adiantum lucidum			2009	11	09	F. B. Matos	1935				F. B. Matos					PRADO	Parque Nacional do Descobrimento. Estrada principal que atravessa o Parque, chegando no Km 6.	-39.333333	-17.183333												30/11/2009																						
2024-05-07T10:50:01	PreservedSpecimen	Brasil	Bahia	CEPLAC	CEPEC	123965	Plantae				Bromeliaceae	Aechmea	alba		Aechmea alba			2009	06	09	Matos, F. B.	1634				T. Fontoura					PRADO	Parque Nacional do Descobrimento. Km 22 da estrada principal que atravessa o Parque. Interior da mata.	-39.333333	-17.183333			100	100									<nO>UNICATA.</nO>																					
2024-05-07T10:55:36	PreservedSpecimen	Brasil	Bahia	CEPLAC	CEPEC	127089	Plantae				Fabaceae	Albizia	pedicellaris		Albizia pedicellaris			2009	11	10	Matos, F. B.	1961				M. Barros					PRADO	Parque Nacional do Descobrimento. Entrada à esquerda no km 8 da estrada principal que atravessa o Parque. Área alterada, na borda da mata.	-39.333333	-17.183333			70	70																														
2024-05-07T11:07:37	PreservedSpecimen	Brasil	Bahia	CEPLAC	CEPEC	123957	Plantae				Rubiaceae	Amanoa	guianensis		Amanoa guianensis			2009	06	09	Matos, F. B.	1626				J. G. Jardim					PRADO	Parque Nacional do Descobrimento. Km 22 da estrada principal que atravessa o Parque. Interior da mata.	-39.333333	-17.183333			100	100									<nO>UNICATA.</nO>																					
2024-05-07T11:10:16	PreservedSpecimen	Brasil	Bahia	CEPLAC	CEPEC	127079	Plantae				Schizaeaceae	Anemia	hirta		Anemia hirta			2009	11	09	F. B. Matos	1951				F. B. Matos					PRADO	Parque Nacional do Descobrimento. Entrada à esquerda no Km 8 da estrada principalque atravessa o Parque.	-39.333333	-17.183333												30/11/2009																						
2024-05-07T11:10:18	PreservedSpecimen	Brasil	Bahia	CEPLAC	CEPEC	123993	Plantae				Schizaeaceae	Anemia	phyllitidis		Anemia phyllitidis			2009	06	10	F. B. Matos	1662				F. B. Matos					PRADO	Parque Nacional do Descobrimento.	-39.333333	-17.183333												30/06/2009																						
2024-05-07T10:45:22	PreservedSpecimen	Brasil	Bahia	CEPLAC	CEPEC	126840	Plantae				Annonaceae							2009	11	03	Daneu, L.	216				Sem Informação					PRADO	Parque Nacional do Descobrimento. Entrada à esquerda no km8 da estrada principal que atravessa o Parque.	-39.333333	-17.183333																																		
2024-05-07T10:54:34	PreservedSpecimen	Brasil	Bahia	CEPLAC	CEPEC	127055	Plantae				Euphorbiaceae	Aparisthmium	cordatum		Aparisthmium cordatum			1996	11	05	F. B. Matos	1927				O. L. M. Silva					PRADO	Parque Nacional do Descobrimento. Entrada a esquerda no KM 12 da estrada principal que atravessa o Parque.	-39.333333	-17.183333												02/02/2015																						
2024-05-07T10:44:51	PreservedSpecimen	Brasil	Bahia	CEPLAC	CEPEC	123955	Plantae				Acanthaceae	Aphelandra	nitida		Aphelandra nitida			2009	06	09	Matos, F. B.	1624				F. B. Matos					PRADO	Parque Nacional do Descobrimento. Km 22 da estrada principal que atravessa o Parque. Interior da mata.	-39.333333	-17.183333			100	100																														
2024-05-07T10:45:44	PreservedSpecimen	Brasil	Bahia	CEPLAC	CEPEC	127039	Plantae				Apocynaceae							2009	11	03	Matos, F. B.	1911				Sem Informação					PRADO	Parque Nacional do Descobrimento. Mussununga (solo arenoso); entrada à esquerda no km 8 da estrada principal que atravessa o Parque. Local alterado na beira da estrada.	-39.333333	-17.183333			70	70																														
2024-05-07T10:46:13	PreservedSpecimen	Brasil	Bahia	CEPLAC	CEPEC	123956	Plantae				Araceae							2009	06	09	Matos, F. B.	1625				Sem Informação					PRADO	Parque Nacional do Descobrimento. Km 22 da estrada principal que atravessa o Parque. Interior da mata.	-39.333333	-17.183333			100	100																														
2024-05-07T10:46:39	PreservedSpecimen	Brasil	Bahia	CEPLAC	CEPEC	127058	Plantae				Arecaceae							2009	11	07	Matos, F. B.	1930				Sem Informação					PRADO	Parque Nacional do Descobrimento. Trilha aberta para os estudos do Plano de Manejo do PARNA, km 22 da estrada principal que atravessa o Parque (solo argiloso). Interior da mata.	-39.333333	-17.183333			90	90									<nO>UNICATA.</nO>																					
2024-05-07T10:46:58	PreservedSpecimen	Brasil	Bahia	CEPLAC	CEPEC	126014	Plantae				Aspleniaceae	Asplenium	angustum		Asplenium angustum			2009	06	11	Matos, F. B.	1682				F. B. Matos					PRADO	Parque Nacional do Descobrimento. Entrada a direita no Km 18 da estrada principal que atravessa o Parque. Interior da mata.	-39.333333	-17.183333			100	100									<nO>Material em sílica.</nO>																					
2024-05-07T10:48:12	PreservedSpecimen	Brasil	Bahia	CEPLAC	CEPEC	123950	Plantae				Asteraceae	Baccharis	calvescens		Baccharis calvescens			2009	06	09	F. B. Matos	1619				N. Roque					PRADO	Parque Nacional do Descobrimento. Km 22 da estrada pricipal que atravessa o Prque.	-39.333333	-17.183333												30/07/2009																						
2024-05-07T10:58:57	PreservedSpecimen	Brasil	Bahia	CEPLAC	CEPEC	127054	Plantae				Malpighiaceae	Banisteriopsis	gardneriana		Banisteriopsis gardneriana			2009	11	04	Matos, F. B.	1926				Amorim, A. M.					PRADO	Parque Nacional do Descobrimento. Entrada à esquerda no km 12 da estrada principal que atravessa o Parque. Local alterado na beira da estrada.	-39.333333	-17.183333			70	70																														
2024-05-07T10:49:15	PreservedSpecimen	Brasil	Bahia	CEPLAC	CEPEC	126910	Plantae				Bignoniaceae							2009	11	07	Carvalho, G. M.	180				Sem Informação					PRADO	Parque Nacional do Descobrimento	-39.333333	-17.183333			100	100																														
2024-05-07T10:50:08	PreservedSpecimen	Brasil	Bahia	CEPLAC	CEPEC	123963	Plantae				Bromeliaceae	Billbergia	iridifolia		Billbergia iridifolia			2009	06	09	Matos, F. B.	1632				T. Fontoura					PRADO	Parque Nacional do Descobrimento. Km 22 da estrada principal que atravessa o Parque. Interior da mata.	-39.333333	-17.183333			100	100																														
2024-05-07T10:49:45	PreservedSpecimen	Brasil	Bahia	CEPLAC	CEPEC	126043	Plantae				Boraginaceae							2009	06	12	Matos, F. B.	1711				Sem Informação					PRADO	Parque Nacional do Descobrimento. Mussununga arbórea; entrada a direita no Km 18 da estrada principal que atravessa o Parque. Borda da mata.	-39.333333	-17.183333			100	100																														
2024-05-07T10:55:45	PreservedSpecimen	Brasil	Bahia	CEPLAC	CEPEC	123952	Plantae				Fabaceae	Calliandra	bella		Calliandra bella			2009	06	09	Matos, F. B.	1621				F. B. Matos					PRADO	Parque Nacional do Descobrimento. Km 22 da estrada principal que atravessa o Parque. Borda da mata.	-39.333333	-17.183333			100	100																														
2024-05-07T10:56:52	PreservedSpecimen	Brasil	Bahia	CEPLAC	CEPEC	126020	Plantae				Flacourtiaceae	Casearia	arborea		Casearia arborea			2009	06	11	Matos, F. B.	1688				F. A. A. Nepomuceno					PRADO	Parque Nacional do Descobrimento. Mussununga arbórea; entrada a direita no Km 18 da estrada principal que atravessa o Parque. Borda da mata.	-39.333333	-17.183333			100	100																														
2024-05-07T10:56:56	PreservedSpecimen	Brasil	Bahia	CEPLAC	CEPEC	123976	Plantae				Flacourtiaceae	Casearia	oblongifolia		Casearia oblongifolia			2009	06	10	Matos, F. B.	1645				F. A. A. Nepomuceno					PRADO	Parque Nacional do Descobrimento. Interior da mata.	-39.333333	-17.183333			100	100																														
2024-05-07T10:55:50	PreservedSpecimen	Brasil	Bahia	CEPLAC	CEPEC	127091	Plantae				Fabaceae	Chamaecrista	bahiae		Chamaecrista bahiae			2009	11	10	Matos, F. B.	1963				J.G.Rando & M.Cota					PRADO	Parque Nacional do Descobrimento. Entrada à esquerda no km 8 da estrada principal que atravessa o Parque. Área alterada, na borda da mata.	-39.333333	-17.183333			70	70																														
2024-05-07T11:07:40	PreservedSpecimen	Brasil	Bahia	CEPLAC	CEPEC	127023	Plantae				Rubiaceae	Chiococca			Chiococca			2009	11	02	Matos, F. B.	1895				C. M. Taylor					PRADO	Parque Nacional do Descobrimento. Mussununga arbórea (solo arenoso); entrada à direita no Km 18 da estrada principal que atravessa o Parque. Interior da mata.	-39.333333	-17.183333			50	50																														
2024-05-07T11:07:41	PreservedSpecimen	Brasil	Bahia	CEPLAC	CEPEC	126030	Plantae				Rubiaceae	Chiococca	alba		Chiococca alba			2009	06	11	Matos, F. B.	1698				J. G. Jardim					PRADO	Parque Nacional do Descobrimento. Mussununga arbórea; entrada a direita no Km 18 da estrada principal que atravessa o Parque. Borda da mata.	-39.333333	-17.183333			100	100																														
2024-05-07T11:07:41	PreservedSpecimen	Brasil	Bahia	CEPLAC	CEPEC	126051	Plantae				Rubiaceae	Chiococca	alba		Chiococca alba			2009	06	12	Matos, F. B.	1719				J. G. Jardim					PRADO	Parque Nacional do Descobrimento. Mussununga arbórea; entrada a direita no Km 18 da estrada principal que atravessa o Parque. Interior da mata.	-39.333333	-17.183333			100	100																														
2024-05-07T11:02:05	PreservedSpecimen	Brasil	Bahia	CEPLAC	CEPEC	126018	Plantae				Menispermaceae	Chondrodendron	microphyllum		Chondrodendron microphyllum			2009	06	11	Matos, F. B.	1686				Sem Informação					PRADO	Parque Nacional do Descobrimento. Mussununga arbórea; entrada a direita no Km 18 da estrada principal que atravessa o Parque. Interior da mata.	-39.333333	-17.183333			100	100									<nO>UNICATA.</nO>																					
2024-05-07T11:00:53	PreservedSpecimen	Brasil	Bahia	CEPLAC	CEPEC	126027	Plantae				Melastomataceae	Clidemia	biserrata		Clidemia biserrata			2009	06	11	Matos, F. B.	1695				C. A. Ferreira & A. K. A. Santos					PRADO	Parque Nacional do Descobrimento. Mussununga arbórea; entrada a direita no Km 18 da estrada principal que atravessa o Parque. Local alterado ao lado da trilha.	-39.333333	-17.183333			100	100																														
2024-05-07T11:07:48	PreservedSpecimen	Brasil	Bahia	CEPLAC	CEPEC	126002	Plantae				Rubiaceae	Coccocypselum	lanceolatum		Coccocypselum lanceolatum			2009	06	11	Matos, F. B.	1670				J. G. Jardim					PRADO	Parque Nacional do Descobrimento. Área alterada na beira de estrada (Km 24 da estrada principal que atravessa o Parque).	-39.333333	-17.183333			100	100																														
2024-06-26T11:06:08	PreservedSpecimen	Brasil	Bahia	UFSB	GCPP	02915	Plantae	Tracheophyta			Burseraceae	Protium	heptaphyllum		Protium heptaphyllum	(Aubl.) Marchand		2023	06	23	T. Soares						2023	06	23		PRADO	Parque Nacional do Descobrimento	-39.415056	-17.141306													<nO>Árvore ca 3-4m de altura, DAP 15cm, não bifurcada. Frutos maduros vermelhos.</nO>																					
2024-06-26T11:06:08	PreservedSpecimen	Brasil	Bahia	UFSB	GCPP	02914	Plantae	Tracheophyta			Anacardiaceae	Schinus	terebinthifolia		Schinus terebinthifolia	Raddi		2022	03	24	T. Soares						2022	03	24		PRADO	Parque Nacional do Descobrimento	-39.265417	-17.122833													<nO>Árvore. Frutos maduros vermelhos</nO>																					
2025-01-25T00:18:00	PreservedSpecimen	Brasil	Bahia	NY	NY	2480379	Plantae	Magnoliophyta			Fabaceae	Calliandra			Calliandra			2011	06	15	V. de F. Mansano	861								South America	Prado Mun.	Fazenda Guaíra, propriedade do sr. Caliman, acesso pelo lado esquerdo da estrada Itamarajú / Prado, km 21 logo após o Parque Nacional do Descobrimento, 10 km de estrada de terra	-39.3142	-17.1347								sheet					<nO><a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2705589' target='other'> <mi>dwc_moreinfo</mi></a></nO>	NY02480379																				
2025-02-01T12:01:46	PreservedSpecimen	Brasil	Bahia	UFPR	UPCB	111314	Plantae				Orchidaceae	Polystachya	concreta		Polystachya concreta	(Jacq.) Garay & Sweet		2024	09	27	Engels, M.E.	11994				Engels, M.E.	2024	10	3		Prado	Trilha da Gindiba. Parque Nacional do Descobrimento	-39.3302778	-17.0552778			90										<nO>Epífita. Folhas roxas concolores. Flores verde claras, pétalas e labelo alvos. Cultivada até floração. UNICATA.</nO>	UPCB0081511																				
2025-02-01T12:01:46	PreservedSpecimen	Brasil	Bahia	UFPR	UPCB	110857	Plantae				Potamogetonaceae	Potamogeton	montevidensis		Potamogeton montevidensis	A.Benn.		2024	05	17	Renon, P.; Franco, A.P.S.A.,Hornink, B., Junior, C.C.B., Koch, I., Goldenberg, R., Labiak, P., Ivanauskas, N., Toledo, C., Souza, V.C., Bochorny, T., Forzza, R.C.	840				Renon, P.	2024	5	17		Prado	Estrada Alegria Nova. Parque Nacional do Descobrimento	-39.2938889	-17.0402777			70										<nO>Erva aquática, inflorescência com flores esverdeadas</nO>	UPCB0074492																				
2025-02-01T12:01:46	PreservedSpecimen	Brasil	Bahia	UFPR	UPCB	110659	Plantae				Sapotaceae	Pradosia	lactescens		Pradosia lactescens	(Vell.) Radlk.		2024	05	15	Dantas, P.Q.; Barbosa-Souza, M., Engels, M.E., Souza, L.S., Rocha, F.A., Silva, S.P., Koch, I., Goldenberg, R., Labiak, P., Ivanauskas, N., Toledo, C., Souza, V.C., Bochorny, T., Forzza, R.C.	153				Barbosa-Souza, M.	2024	5	15		Prado	Trilha da Juerana. Parque Nacional do Descobrimento	-39.3533333	-17.1108333			74										<nO>Árvore, 6m de altura. Látex escasso branco. Cauliflora. Pétalas purpúreas. Frutos imaturos verdes. Fruto maduro amarelo</nO>	UPCB0074571																				
2025-02-01T12:01:46	PreservedSpecimen	Brasil	Bahia	UFPR	UPCB	111281	Plantae				Asteraceae	Praxelis	clematidea		Praxelis clematidea	(Griseb.) R.M.King & H.Rob.		2024	05	17	Renon, P.; Franco, A.P.S.A.,Hornink, B., Junior, C.C.B., Koch, I., Goldenberg, R., Labiak, P., Ivanauskas, N., Toledo, C., Souza, V.C., Bochorny, T., Forzza, R.C.	828				Renon, P.	2024	5	17		Prado	Estrada Alegria Nova. Parque Nacional do Descobrimento	-39.2938889	-17.0402777			70										<nO>Erva com cerca de 30 cm de altura, flores lilás.</nO>	UPCB0074480																				
2025-02-01T12:01:46	PreservedSpecimen	Brasil	Bahia	UFPR	UPCB	111227	Plantae				Rubiaceae	Psychotria	pedunculosa		Psychotria pedunculosa	Rich.		2024	05	16	Hinoshita, L.K.R.; Zidany, J., John, L., Lobo, L., Pereira, T., Koch, I., Goldenberg, R., Labiak, P., Ivanauskas, N., Toledo, C., Souza, V.C., Bochorny, T., Forzza, R.C.	130				Jardim, J.	2024	5	23		Prado	Trilha da Gindiba - Trilha 2 do Programa Monitora. Parque Nacional do Descobrimento	-39.3336111	-17.0566667			90										<nO>Árvore com cerca de 20m, domácias presentes na face abaxial das folhas, frutos imaturos verdes.</nO>	UPCB0074343																				
