datelastmodified	basisofrecord	country	stateprovince	institutioncode	collectioncode	catalognumber	kingdom	phylum	taxonclass	ordem	family	genus	species	subspecies	scientificname	scientificnameauthor	typestatus	yearcollected	monthcollected	daycollected	collector	collectornumber	fieldnumber	julianday	timeofday	identifiedby	yearidentified	monthidentified	dayidentified	continentocean	county	locality	longitude	latitude	coordinateprecision	boundingbox	minimumelevation	maximumelevation	minimumdepth	maximumdepth	sex	preparationtype	individualcount	previouscatalognumber	relationshiptype	relatedcatalogitem	notes	barcode	historyofdeposit	depositor	yeardeposited	monthdeposited	daydeposited	isolatedfrom	isolator	isolationmethod	conditionsforgrowth	geneticallymodified	genotype	mutant	race	alternatestate	strainproperties	strainapplications	formofsupply	restrictions	biologicalrisks	pathogenicity
2025-01-25T00:18:00	PreservedSpecimen	Brasil	Bahia	NY	NY	514344	Plantae	Magnoliophyta			Sapindaceae	Paullinia	ternata		Paullinia ternata	Radlk.		1994	04	06	A. M. V. de Carvalho	4471				P. Acevedo-Rodríguez				South America	Porto Seguro Mun.	Reserva da Brasil Holanda de Ind. S/A. Entrada no Km 22 de Rod. Eunapólis/P. Seguro. Ca. 9.5 km na entrada.	-39.3253	-16.4625								sheet					<nO><a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=451714' target='other'> <mi>dwc_moreinfo</mi></a></nO>	NY00514344																				
2025-01-25T00:18:00	PreservedSpecimen	Brasil	Bahia	NY	NY	657003	Plantae	Magnoliophyta			Nyctaginaceae	Guapira	laxiflora		Guapira laxiflora	(Choisy) Lundell		1994	04	06	A. M. V. de Carvalho	4443				A. Furlan	1995			South America	Porto Seguro Mun.	Reserva da Brasil Holanda de Ind. S/A. Estrada no km 22 da Rod. Eunapólis/Porto Seguro. Ca. 9.5 km da entrada	-39.3253	-16.4625								sheet					<nO><a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=455564' target='other'> <mi>dwc_moreinfo</mi></a></nO>	NY00657003																				
2025-01-25T00:18:00	PreservedSpecimen	Brasil	Bahia	NY	NY	559514	Plantae	Magnoliophyta			Piperaceae	Peperomia	obtusifolia		Peperomia obtusifolia	(L.) A.Dietr.		1994	04	07	J. G. Jardim	407				R. Callejas Posada	1994			South America	Porto Seguro Mun.	Reserva da brasil Holanda de Industrias S/A. Entrada no km 22 da Rod. Eunapólis/Porto Seguro, ca. 9.5 km da entrada	-39.3253	-16.4625								sheet					<nO><a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=209073' target='other'> <mi>dwc_moreinfo</mi></a></nO>	NY00559514																				
2025-01-25T00:18:00	PreservedSpecimen	Brasil	Bahia	NY	NY	559432	Plantae	Magnoliophyta			Piperaceae	Peperomia	magnoliifolia		Peperomia magnoliifolia	(Jacq.) A.Dietr.		1994	04	07	J. G. Jardim	405				R. Callejas Posada	1994			South America	Porto Seguro Mun.	Reserva da Brasil Holanda de Industrias S/A. Entrada no km 22 da Rod. Eunapólis/Porto Seguro. Ca. 9.5 km da entrada	-39.3253	-16.4625								sheet					<nO><a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=306259' target='other'> <mi>dwc_moreinfo</mi></a></nO>	NY00559432																				
2025-01-25T00:18:00	PreservedSpecimen	Brasil	Bahia	NY	NY	566366	Plantae	Magnoliophyta			Aristolochiaceae	Aristolochia	bahiensis		Aristolochia bahiensis	F.González		1994	04	07	J. G. Jardim	399				F. A. González	2001	10		South America	Porto Seguro Mun.	Reserva da Brasil Holanda de Industrias S/A. Entrada no km 22 da Rod. Eunapólis/ P. Seguro. 9.5 km da entrada	-39.3253	-16.4625								sheet					<nO>"2nd collection of this species" <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=456418' target='other'> <mi>dwc_moreinfo</mi></a></nO>	NY00566366																				
2025-01-25T00:18:00	PreservedSpecimen	Brasil	Bahia	NY	NY	634337	Plantae	Magnoliophyta			Euphorbiaceae	Croton			Croton			1994	04	07	J. G. Jardim	381				G. L. Webster				South America	Porto Seguro Mun.	Reserva da Brasil Holanda de Industrias S/A. Entrada no km 22 da Rod. Eunápolis/P. Seguro. ca 9.5 km da entrada	-39.3253	-16.4625								sheet					<nO><a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=591200' target='other'> <mi>dwc_moreinfo</mi></a></nO>	NY00634337																				
2025-01-25T00:18:00	PreservedSpecimen	Brasil	Bahia	NY	NY	413631	Plantae	Magnoliophyta			Cyclanthaceae	Thoracocarpus	bissectus		Thoracocarpus bissectus	(Vell.) Harling		1994	04	07	J. G. Jardim	380				R. Eriksson	1994			South America	Porto Seguro Mun.	Reserva da Brasil Holanda de Industrias S/A. Entrada no km 22 da Rod. Eunápolis/P. Seguro. ca. 9.5 km da entrada	-39.3253	-16.4625								sheet					<nO><a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=84113' target='other'> <mi>dwc_moreinfo</mi></a></nO>	NY00413631																				
2025-01-25T00:18:00	PreservedSpecimen	Brasil	Bahia	NY	NY	603535	Plantae	Magnoliophyta			Fabaceae	Machaerium	aculeatum		Machaerium aculeatum	Raddi		1994	04	07	J. G. Jardim	410				F. L. R. Filardi	2010			South America	Porto Seguro Mun.	Reserva da Brasil Holanda de Industrias S/A. Entrada no km 22 da Rod. Eunapólis/P.Seguro. Ca. 9,5 km da entrada	-39.3253	-16.4625								sheet					<nO><a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=337229' target='other'> <mi>dwc_moreinfo</mi></a></nO>	NY00603535																				
2025-01-25T00:18:00	PreservedSpecimen	Brasil	Bahia	NY	NY	644468	Plantae	Magnoliophyta			Loranthaceae	Psittacanthus	dichroos		Psittacanthus dichroos	(Mart.) Mart.		1994	04	07	J. G. Jardim	412				J. Kuijt	1994			South America	Porto Seguro Mun.	Reserva da Brasil Holanda de Industrias S/A Entrada no km 22 da Rod. Eunapólis/p. Seguro ca. 9.5 km da entrada	-39.3253	-16.4625								sheet					<nO><a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=125113' target='other'> <mi>dwc_moreinfo</mi></a></nO>	NY00644468																				
2025-01-25T00:18:00	PreservedSpecimen	Brasil	Bahia	NY	NY	604319	Plantae	Magnoliophyta			Fabaceae	Machaerium	salzmannii		Machaerium salzmannii	Benth.		1994	04	07	J. G. Jardim	414				A. M. V. de Carvalho	1994			South America	Porto Seguro Mun.	Reserva da Brasil Holanda de Industrias S/A. Entrada no km 22 da Rod. Eunapólis/P. Seguro. Ca. 9,5 km da entrada	-39.3253	-16.4625								sheet					<nO><a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=758100' target='other'> <mi>dwc_moreinfo</mi></a></nO>	NY00604319																				
2025-01-25T00:18:00	PreservedSpecimen	Brasil	Bahia	NY	NY	634334	Plantae	Magnoliophyta			Malpighiaceae	Heteropterys	cordifolia		Heteropterys cordifolia	Moric.		1994	04	07	J. G. Jardim	406				A. M. Amorim				South America	Porto Seguro Mun.	Reserva da Brasil Holanda de Industrias S/A. Entrada no km 22 da Rod. Eunapólis/P. Seguro. ca 9.5 km da estrada	-39.3253	-16.4625								sheet					<nO><a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=72599' target='other'> <mi>dwc_moreinfo</mi></a></nO>	NY00634334																				
2025-01-25T00:18:00	PreservedSpecimen	Brasil	Bahia	NY	NY	572048	Plantae	Magnoliophyta			Marantaceae	Stromanthe	porteana		Stromanthe porteana	Gris		1994	04	07	J. G. Jardim	383				B. L. Andersson	1995	10	01	South America	Porto Seguro Mun.	Reserva da Brasil Holanda de Industrias S/A. Entrada no km 22 da Rod. Eunapólis/P. Seguro ca. 9.5 km na entrada	-39.3253	-16.4625								sheet					<nO><a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=650265' target='other'> <mi>dwc_moreinfo</mi></a></nO>	NY00572048																				
