"type"|"right"|"occurrenceID_GBIF"|"rightsHolder"|"modified"|"institutionCode"|"collectionCode"|"catalogNumber"|"recordNumber"|"recordedBy"|"eventDate"|"year"|"month"|"day"|"occurrenceRemarks"|"fieldNotes"|"country"|"stateProvince"|"municipality"|"locality"|"minimumElevationInMeters"|"maximumElevationInMeters"|"verbatimLatitude"|"verbatimLongitude"|"decimalLatitude"|"decimalLongitude"|"identifiedBy"|"dateIdentified"|"identificationRemarks"|"identificationQualifier"|"typeStatus"|"scientifname"|"family"|"genus"|"specificEpithet"|"infraspecificEpithet"|"taxonRank"|"scientificNameAuthorship"|"Clado"|"fieldnumber"|"kingdom"|"phylum"|"otherCatalogNumbers"
"Collection"|"Creative Commons"|"urn:catalog:RB:732181"|"RB"|"2014-07-08"|"RB"|"RB"|"RB00732181"|"4503"|"A.M.V. de Carvalho"|"1994-4-6"|"1994"|"4"|"6"|"Arbusto com ca. 3m de altura. Folhas leve discolores com face inferior mais clara. Flores esverdeadas"|""|"Brasil"|"Bahia"|"Porto Seguro"|"Reserva Brasil Holanda de Ind. S/A. Entrada no km 22 da Rod. Eunapólis/P. Seguro. Ca. 9,5 km na entrada."|""|""|""|""|"-16.4625000"|"-39.5166667"|""|""|""|""|""|"EUPHORBIACEAE"|"EUPHORBIACEAE"|""|""|""|"family"|""|"Angiospermas"|""|"Plantae"|""|"RB 557525"
"Collection"|"Creative Commons"|"urn:catalog:MBM:172023"|"MBM"|"2023-09-29"|"MBM"|"MBM"|"MBM172023"|"4481"|"Carvalho, AM de"|""|""|""|"6"|""|""|"Brazil"|"Bahia"|"Porto Seguro"|"Reserva Brasil Holanda de Indústria S.A."|""|""|""|""|""|""|"Nesom"|""|""|""|""|"Reissekia smilacina (Sm.) Steud."|"RHAMNACEAE"|"Reissekia"|"smilacina"|""|"specie"|"(Sm.) Steud."|"Angiospermas"|""|"Plantae"|""|"MBM 172023"
"Collection"|"Creative Commons"|"urn:catalog:MBM:175540"|"MBM"|"2023-09-29"|"MBM"|"MBM"|"MBM175540"|"4459"|"Carvalho, AM de"|""|""|""|"6"|""|""|"Brazil"|"Bahia"|"Porto Seguro"|"Reserva Brasil Holanda Indústria S/A."|""|""|""|""|""|""|"Kuijt, J"|""|""|""|""|"Phoradendron crassifolium (Pohl ex DC.) Eichler"|"LORANTHACEAE"|"Phoradendron"|"crassifolium"|""|"specie"|"(Pohl ex DC.) Eichler"|"Angiospermas"|""|"Plantae"|""|"MBM 175540"
